data,product_id,nome,preco,preco_original,n_ofertas,item_id,seller_id,frete_gratis,full,permalink
2026-07-30,MLB68852268,Leave-in Capilar Braé Stages Spray Multi Condicionante 60ml,28.03,28.9,2,MLB7111258144,3117850124,True,False,https://www.mercadolivre.com.br/p/MLB68852268
2026-07-30,MLB28196782,Haskell Cavalo Forte Hidra 300ml Shp/cond/leave In Capilar,185.7,,2,MLB6712634464,299010019,True,False,https://www.mercadolivre.com.br/p/MLB28196782
2026-07-30,MLB64552854,Novex Leave-in Capilar Noturno Ritual Dorama Tsubaki 120 Ml,34.9,,3,MLB6182125998,835451267,True,False,https://www.mercadolivre.com.br/p/MLB64552854
2026-07-30,MLB60725179,Leave-in Capilar Bb Cream 10 Benefícios 100ml Reparador Abso,64.4,70.0,3,MLB6464837128,3264367679,True,False,https://www.mercadolivre.com.br/p/MLB60725179
2026-07-30,MLB29603504,Leave-in Capilar Térmico Spray Vegano 5 Em 1 Blu Magic 60ml,42.96,,5,MLB4513149524,544554429,True,True,https://www.mercadolivre.com.br/p/MLB29603504
2026-07-30,MLB20614777,Inoar Argan Oil - Ampola Capilar 45ml,11.99,14.99,9,MLB4463258810,64188693,True,True,https://www.mercadolivre.com.br/p/MLB20614777
2026-07-30,MLB49964148,Ampola Capilar Profios Power Nutrição 15ml,19.9,,2,MLB4563988325,1134773772,True,False,https://www.mercadolivre.com.br/p/MLB49964148
2026-07-30,MLB44072241,Truss Shock Repair - Ampola Capilar 4x17ml,109.9,,4,MLB7087865958,289331636,True,False,https://www.mercadolivre.com.br/p/MLB44072241
2026-07-30,MLB20668053,Forever Liss Xô Frizz Ampola Capilar 15ml,23.9,,13,MLB6233011162,1554372033,True,False,https://www.mercadolivre.com.br/p/MLB20668053
2026-07-30,MLB24877062,Sisley Gel Doux Nettoyant Gel Limpeza Facial 120ml,890.0,,2,MLB6147887438,217537496,True,False,https://www.mercadolivre.com.br/p/MLB24877062
2026-07-30,MLB45700521,Gel Limpeza Facial Dove Regenerative Oleosa 150ml - Unilever,25.98,,9,MLB4958338653,684377904,True,False,https://www.mercadolivre.com.br/p/MLB45700521
2026-07-30,MLB69563200,Gel Limpeza Medicube Pdrn 200ml Skincare Coreano Hidratante,184.38,,26,MLB6777452188,3155405892,True,False,https://www.mercadolivre.com.br/p/MLB69563200
2026-07-30,MLB36757875,Gel Limpeza Facial Hialuronico Pele Oleosa Monange 120ml,27.0,,3,MLB6797218754,357944073,True,True,https://www.mercadolivre.com.br/p/MLB36757875
2026-07-30,MLB70222514,Kit 3x500ml Gel Limpeza Facial Vitalizy Pele Oleosa Acneica,58.91,,4,MLB6834694138,544554429,True,True,https://www.mercadolivre.com.br/p/MLB70222514
2026-07-30,MLB20567139,Gel Limpeza Facial Micelar Mandélico + Salicílico Botik 150g Oleosa Dia/noite,74.9,,11,MLB7184497312,3318309047,True,False,https://www.mercadolivre.com.br/p/MLB20567139
2026-07-30,MLB22151097,Creme Anti-idade Lucy's Rosa Mosqueta Facial FPS15,23.32,27.99,3,MLB3605635037,514767352,True,False,https://www.mercadolivre.com.br/p/MLB22151097
2026-07-30,MLB47592231,Avon Renew Ultimate Noite Creme Anti-idade 15g,46.9,,4,MLB6740776132,191204294,True,False,https://www.mercadolivre.com.br/p/MLB47592231
2026-07-30,MLB70257313,Máscara Facial Argila Acalma da By Samia,64.7,78.9,2,MLB6850769722,710074486,True,False,https://www.mercadolivre.com.br/p/MLB70257313
2026-07-30,MLB61622688,Base Facial Maquiagem Rosto Bb Cream Missha - 23 Tom Bege natural,159.9,,2,MLB4958551355,661394975,True,False,https://www.mercadolivre.com.br/p/MLB61622688
2026-07-30,MLB21634810,Pincel Para Sombra Maquiagem Marco Boni,24.11,,8,MLB3222746285,136926885,True,False,https://www.mercadolivre.com.br/p/MLB21634810
2026-07-30,MLB59312933,Jogo Conjunto Kit De Pincel Sombra Maquiagem 13 Peças Macio Cor Bordô,14.99,,3,MLB6651486950,271330114,True,False,https://www.mercadolivre.com.br/p/MLB59312933
2026-07-30,MLB59309563,Jogo Conjunto Kit De Pincel Sombra Maquiagem 13 Peças Macio Cor Preto,17.41,21.1,7,MLB4726415895,3198481427,True,False,https://www.mercadolivre.com.br/p/MLB59309563
2026-07-30,MLB46112585,Máscara Cílios Vivai Glam Preto Volume Alongamento,21.99,,6,MLB4220868043,2704465107,True,False,https://www.mercadolivre.com.br/p/MLB46112585
2026-07-30,MLB42341040,Mascara Cílios Soul Turbo - Eudora - Cor Preto,59.0,,3,MLB4264984065,268123701,True,False,https://www.mercadolivre.com.br/p/MLB42341040
2026-07-30,MLB22950778,Máscara Cílios Big Bang 10g Cor Preto,89.9,,2,MLB4525198159,204780036,True,False,https://www.mercadolivre.com.br/p/MLB22950778
2026-07-30,MLB10481237,"Máscara Cílios Sensacionais Lavável Preto Maybelline NY 9,5ml",65.72,85.59,7,MLB1552407305,480265022,True,True,https://www.mercadolivre.com.br/p/MLB10481237
2026-07-30,MLB45481915,Máscara Cílios Preto Prova D'Água Febella Curvo Volume,21.89,29.9,3,MLB6292769718,1859094571,True,False,https://www.mercadolivre.com.br/p/MLB45481915
