data,product_id,nome,preco,n_ofertas,item_id,seller_id,frete_gratis,permalink
2026-07-12,MLB50029336,Collapse Um Thriller Psicológico Da Autora De Caledrina Cefyr,35.48,100,MLB4767041049,3354235929,False,https://www.mercadolivre.com.br/p/MLB50029336
2026-07-12,MLB72032813,Livro Choke Point: A Thriller The Scot Harvath Series - Ing,412.0,1,MLB4737285605,44566626,True,https://www.mercadolivre.com.br/p/MLB72032813
2026-07-12,MLB72648711,Livro Stone Cold: A Southern Mystery Thriller Book 1 - Ing,316.74,1,MLB6909123592,44566626,True,https://www.mercadolivre.com.br/p/MLB72648711
2026-07-12,MLB72048964,A Dona De Casa Perfeita Um Thriller Psicológico Sobre O La,146.41,2,MLB7063035714,3277837440,True,https://www.mercadolivre.com.br/p/MLB72048964
2026-07-12,MLB71612341,Livro It's Not Her: A Twisty Thriller About Two Famili - Ing,339.59,2,MLB6993957794,3277837440,True,https://www.mercadolivre.com.br/p/MLB71612341
2026-07-12,MLB51140116,Pactos Mortais Um Thriller Psicológico Instigante De Vingança E Segredos Sombrios,42.0,98,MLB6963715948,3354235929,False,https://www.mercadolivre.com.br/p/MLB51140116
2026-07-12,MLB71597271,Livro One Piece Box Set 3: Thriller Bark To New World - Ing,1062.22,1,MLB4733901617,44566626,True,https://www.mercadolivre.com.br/p/MLB71597271
2026-07-12,MLB70912725,Livro - La Vendetta Della Corrente Del Golfo. Il Meteo-thriller Che Anticipa Il Futuro,699.0,1,MLB4846870927,144261870,True,https://www.mercadolivre.com.br/p/MLB70912725
2026-07-12,MLB71880103,Livro - Tratamiento Psicológico De Hábitos Y Enfermedades,1099.0,1,MLB6899720302,144261870,True,https://www.mercadolivre.com.br/p/MLB71880103
2026-07-12,MLB62023668,A Dona De Casa Perfeita Um Thriller Psicológico Sobre O Lado Sombrio Das Tradwives,50.88,93,MLB6487355198,264685287,False,https://www.mercadolivre.com.br/p/MLB62023668
2026-07-12,MLB63740683,"Livro: Sua Última Reverência Autor: Arthur Conan Doyle (novo, Lacrado), De Arthur Conan Doyle",32.85,3,MLB4396240775,189459026,False,https://www.mercadolivre.com.br/p/MLB63740683
2026-07-12,MLB24667065,"Sherlock Holmes: O Cão Dos Baskervilles, De Doyle, Sir Arthur Conan / Arthur Conan Doyle, Sir. Editora Melhoramentos, Capa Mole, Edição 1ª Edição - 2010 Em Português",52.0,1,MLB3387551047,265690040,False,https://www.mercadolivre.com.br/p/MLB24667065
2026-07-12,MLB21423113,Box Sherlock Holmes - Caixa - 4 Livros - Arthur Conan Doyle,159.9,1,MLB6711242584,616981848,True,https://www.mercadolivre.com.br/p/MLB21423113
2026-07-12,MLB45553309,Sherlock Holmes: Um Estudo Em Vermelho - Arthur Conan Doyle,14.95,71,MLB5271836740,480263032,False,https://www.mercadolivre.com.br/p/MLB45553309
2026-07-12,MLB30366229,"Livro - As Aventuras De Sherlock Holmes Vol.1 - Arthur Conan: As Aventuras De Sherlock Holmes, De Arthur Conan Doyle. Série Sherlock Holmes, Vol. 1. Editora Hb, Capa Mole, Edição 1",23.8,1,MLB3582810985,225978040,False,https://www.mercadolivre.com.br/p/MLB30366229
2026-07-12,MLB30103893,"Livro - As Aventuras De Sherlock Holmes Vol.2 - Arthur Conan: As Aventuras De Sherlock Holmes, De Arthur Conan Doyle. Série Sherlock Holmes, Vol. 1. Editora Hb, Capa Mole, Edição 1",24.9,1,MLB4605421858,1330724017,False,https://www.mercadolivre.com.br/p/MLB30103893
2026-07-12,MLB68196715,Livro Sherlock Holmes: Um Estudo Em Arthur Conan Doyle,13.0,27,MLB4961822744,185754917,False,https://www.mercadolivre.com.br/p/MLB68196715
2026-07-12,MLB72975697,Sherlock Holmes Volume 3 - Arthur Conan Doyle (veja Descrição),40.5,1,MLB6932198006,386374616,False,https://www.mercadolivre.com.br/p/MLB72975697
2026-07-12,MLB69534368,"Sherlock Holmes - O Signo Dos Quatro - Doyle, Arthur Conan",134.0,2,MLB6756755116,3165797210,True,https://www.mercadolivre.com.br/p/MLB69534368
2026-07-12,MLB30406397,"Livro - Sherlock Holmes Vol.2 - Arthur Conan - Capa Dura: Não Se Aplica, De Arthur Conan Doyle. Série Sherlock Holmes, Vol. 1. Editora Haper Collins, Capa Dura, Edição 1 Em Portugu",147.9,1,MLB6784414880,3226849471,True,https://www.mercadolivre.com.br/p/MLB30406397
2026-07-12,MLB57813856,Kit Thrillers Colleen Hoover: Verity + Layla,76.64,81,MLB4327035671,599323187,False,https://www.mercadolivre.com.br/p/MLB57813856
2026-07-12,MLB71098390,"Livro Todas As Suas Imperfeições, Colleen Hoover, 2019, Record",39.99,1,MLB6907287726,3412012290,False,https://www.mercadolivre.com.br/p/MLB71098390
2026-07-12,MLB72638304,Livro Colleen Hoover 3-book Boxed Set: Reminders - Inglês,454.12,2,MLB4742890321,44566626,True,https://www.mercadolivre.com.br/p/MLB72638304
2026-07-12,MLB54711829,"Livro Coleção Colleen Hoover: É Assim Que Acaba + É Assim Que Começa (edições De Colecionador Com Pintura Trilateral), De Colleen Hoover, Vol. 1. Editora Kit De Livros, Capa Mole",212.99,2,MLB5745094154,299478192,True,https://www.mercadolivre.com.br/p/MLB54711829
2026-07-12,MLB34280643,"Livro Kit É Assim Que Começa + O Lado Feio Do Amor - Colleen Hoover, De : Colleen Hoover / Tradução: Priscila Catão. Não Aplica Editorial Galera, Tapa Mole En Português, 2010",110.97,4,MLB4548773812,366835102,True,https://www.mercadolivre.com.br/p/MLB34280643
2026-07-12,MLB30033114,"Identidades Cruzadas, De Harlan Coben. Editora Arqueiro Em Português",48.19,4,MLB4904549046,480263032,False,True,https://www.mercadolivre.com.br/p/MLB30033114
2026-07-12,MLB19243672,Livro Fique comigo de Harlan Coben Editora Arqueiro Capa mole em português 2021,83.15,1,MLB3538274595,539726086,True,False,https://www.mercadolivre.com.br/p/MLB19243672
2026-07-12,MLB43966736,"Livro Nunca Minta de Freida McFadden, 280 Páginas, Português, Editora Record, Capa Blanda",33.85,5,MLB4179784763,480263032,False,True,https://www.mercadolivre.com.br/p/MLB43966736
2026-07-12,MLB63989000,"Livro Querida Debbie, por Freida McFadden Editora Arqueiro Capa Mole Em Português, 2026",37.17,2,MLB6272997754,480263032,False,True,https://www.mercadolivre.com.br/p/MLB63989000
2026-07-12,MLB49824716,Livro A Sete Chaves Edição 1 Ano 2025 Em Português Freida Mcfadden Editora Arqueiro,37.05,2,MLB5420634440,480263032,False,True,https://www.mercadolivre.com.br/p/MLB49824716
2026-07-12,MLB61516164,Livro A Inquilina de Freida Mcfadden com Capa Mole em Português por Editora Record,35.99,3,MLB4436870355,480263032,False,True,https://www.mercadolivre.com.br/p/MLB61516164
